month_nu,day_nu,begin_yr,max_va
10,28,2013,319
10,29,2013,307
10,30,2013,296
10,31,2013,291
11,1,2013,288
11,2,2013,351
11,3,2013,466
11,4,2013,473
11,5,2013,492
11,6,2013,592
11,7,2013,666
11,8,2013,977
11,9,2013,782
11,10,2013,654
11,11,2013,572
11,12,2013,573
11,13,2013,552
11,14,2013,510
11,15,2013,519
11,16,2013,659
11,17,2013,861
11,18,2013,880
11,19,2013,2130
11,20,2013,2220
11,21,2013,1530
11,22,2013,1200
11,23,2013,1020
11,24,2013,903
11,25,2013,809
11,26,2013,740
11,27,2013,692
11,28,2013,647
11,29,2013,605
11,30,2013,574
12,1,2013,594
12,2,2013,2590
12,3,2013,2180
12,4,2013,1560
12,5,2013,1280
12,6,2013,1140
12,7,2013,1010
12,8,2013,892
12,9,2013,840
12,10,2013,799
12,11,2013,757
12,12,2013,729
12,13,2013,763
12,14,2013,717
12,15,2013,675
12,16,2013,648
12,17,2013,625
12,18,2013,603
12,19,2013,583
12,20,2013,573
12,21,2013,674
12,22,2013,667
12,23,2013,649
12,24,2013,645
12,25,2013,622
12,26,2013,602
12,27,2013,579
12,28,2013,556
12,29,2013,534
12,30,2013,519
12,31,2013,503
1,1,2014,487
1,2,2014,473
1,3,2014,473
1,4,2014,454
1,5,2014,437
1,6,2014,426
1,7,2014,450
1,8,2014,523
1,9,2014,1030
1,10,2014,1190
1,11,2014,1680
1,12,2014,3790
1,13,2014,4270
1,14,2014,2820
1,15,2014,2090
1,16,2014,1700
1,17,2014,1460
1,18,2014,1280
1,19,2014,1150
1,20,2014,1040
1,21,2014,960
1,22,2014,898
1,23,2014,844
1,24,2014,793
1,25,2014,752
1,26,2014,716
1,27,2014,687
1,28,2014,719
1,29,2014,1100
1,30,2014,1210
1,31,2014,1060
2,1,2014,952
2,2,2014,892
2,3,2014,856
2,4,2014,816
2,5,2014,767
2,6,2014,758
2,7,2014,772
2,8,2014,901
2,9,2014,1990
2,10,2014,2230
2,11,2014,3910
2,12,2014,9260
2,13,2014,8040
2,14,2014,8620
2,15,2014,8330
2,16,2014,9000
2,17,2014,7250
2,18,2014,8010
2,19,2014,9380
2,20,2014,6750
2,21,2014,5650
2,22,2014,4460
2,23,2014,3620
2,24,2014,3050
2,25,2014,2600
2,26,2014,2260
2,27,2014,2040
2,28,2014,1860
3,1,2014,1710
3,2,2014,1810
3,3,2014,3080
3,4,2014,3400
3,5,2014,5380
3,6,2014,11200
3,7,2014,9250
3,8,2014,6190
3,9,2014,7240
3,10,2014,6410
3,11,2014,4930
3,12,2014,3990
3,13,2014,3320
3,14,2014,2880
3,15,2014,2460
3,16,2014,2180
3,17,2014,2300
3,18,2014,2050
